  0 [ 12 @( 2, 0) z  10
  0 [ 13 @( 3, 3) z  15
  0 [ 11 @( 1, 1) z   5
  5 ) 11 @( 1, 1) z   5
  5 [ 11 @( 0, 0) z  30
 10 ) 12 @( 2, 0) z  10
 15 ) 13 @( 3, 3) z  15
 36 ) 11 @( 0, 0) z  30
 36 [ 11 @( 1, 3) z  10
 36 [ 12 @( 0, 0) z  10
 46 ) 11 @( 1, 3) z  10
 46 ) 12 @( 0, 0) z  10
 46 [ 12 @( 2, 2) z   5
 46 [ 13 @( 0, 0) z  10
 51 ) 12 @( 2, 2) z   5
 56 ) 13 @( 0, 0) z  10
 56 [ 13 @( 3, 2) z   5
 56 [ 11 @( 0, 0) z  10
 61 ) 13 @( 3, 2) z   5
 66 ) 11 @( 0, 0) z  10
 66 [ 12 @( 0, 0) z  10
 76 ) 12 @( 0, 0) z  10
 76 [ 12 @( 2, 1) z  10
 76 [ 13 @( 0, 0) z  20
 87 ) 12 @( 2, 1) z  10
 97 ) 13 @( 0, 0) z  20
 97 [ 12 @( 0, 0) z   5
102 ) 12 @( 0, 0) z   5
